lr,batch_size,hidden_units,best_val_accuracy,run_dir
0.001,64,256,0.9806666374206544,C:\tb_logs\task4_grid_mlp-20251029-152337__lr-0.001__hu-256__bs-64
0.001,128,256,0.977833330631256,C:\tb_logs\task4_grid_mlp-20251029-152453__lr-0.001__hu-256__bs-128
0.001,64,128,0.977666676044464,C:\tb_logs\task4_grid_mlp-20251029-152303__lr-0.001__hu-128__bs-64
0.0005,64,256,0.9758333563804626,C:\tb_logs\task4_grid_mlp-20251029-152621__lr-0.0005__hu-256__bs-64
0.001,128,128,0.975499987602234,C:\tb_logs\task4_grid_mlp-20251029-152428__lr-0.001__hu-128__bs-128
0.0005,128,256,0.975000023841858,C:\tb_logs\task4_grid_mlp-20251029-152724__lr-0.0005__hu-256__bs-128
0.0005,64,128,0.9733333587646484,C:\tb_logs\task4_grid_mlp-20251029-152534__lr-0.0005__hu-128__bs-64
0.0005,128,128,0.968999981880188,C:\tb_logs\task4_grid_mlp-20251029-152659__lr-0.0005__hu-128__bs-128
